pcap_secs,ta,ra,seq,mcs,rate,retry,dbm_antsignal,dbm_antnoise,typestr
0.002643,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2128,7,270,0,,,28 QosData
0.002743,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2129,7,130,0,,,28 QosData
0.002847,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2130,7,130,0,,,28 QosData
0.002946,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2131,7,270,0,,,28 QosData
0.003044,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2132,7,130,0,,,28 QosData
0.003143,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2133,7,270,0,,,28 QosData
0.015913,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2246,7,270,0,,,28 QosData
0.016060,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2247,7,130,0,,,28 QosData
0.016177,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2248,7,130,0,,,28 QosData
0.016281,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2249,7,130,0,,,28 QosData
0.016382,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2250,7,270,0,,,28 QosData
0.016484,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2251,7,130,0,,,28 QosData
0.016583,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2252,7,130,0,,,28 QosData
0.016686,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2253,7,130,0,,,28 QosData
0.016783,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2254,7,270,0,,,28 QosData
0.016882,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2255,7,130,0,,,28 QosData
0.016985,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2256,7,270,0,,,28 QosData
0.017098,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2257,7,130,0,,,28 QosData
0.017219,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2258,7,130,0,,,28 QosData
0.017363,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2259,7,270,0,,,28 QosData
0.017471,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2260,7,130,0,,,28 QosData
0.017578,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2261,7,270,0,,,28 QosData
0.017674,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2262,7,130,0,,,28 QosData
0.017765,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2263,7,130,0,,,28 QosData
0.017869,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2264,7,270,0,,,28 QosData
0.017963,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2265,7,130,0,,,28 QosData
0.018065,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2266,0,6.5,0,0,,28 QosData
0.018154,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,,,4.0,0,0,,19 BlockAck
-0.001013,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2603,7,130,0,,,28 QosData
-0.000861,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2604,,,0,,,28 QosData
-0.000707,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2605,,,0,,,28 QosData
-0.000560,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2606,,,0,,,28 QosData
-0.000416,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2607,,,0,,,28 QosData
0.005955,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2608,,,0,,,28 QosData
0.006092,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2609,,,0,,,28 QosData
0.006162,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2610,,,0,,,28 QosData
0.006226,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2611,,,0,,,28 QosData
0.006284,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2612,,,0,,,28 QosData
0.006347,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2613,,,0,,,28 QosData
0.006406,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2614,,,0,,,28 QosData
0.006475,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2615,,,0,,,28 QosData
0.006531,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2616,,,0,,,28 QosData
0.006594,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2617,,,0,,,28 QosData
0.006657,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2618,,,0,,,28 QosData
0.006719,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2619,,,0,,,28 QosData
0.006777,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2620,,,0,,,28 QosData
0.006838,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2621,,,0,,,28 QosData
0.006900,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2622,,,0,,,28 QosData
0.006954,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2623,,,0,,,28 QosData
0.007019,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2624,,,0,,,28 QosData
0.007081,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2625,,,0,,,28 QosData
0.007135,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2626,,,0,,,28 QosData
0.007190,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2627,,,0,,,28 QosData
0.007248,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2628,,,0,,,28 QosData
0.007314,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2629,,,0,,,28 QosData
0.007368,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2630,,,0,,,28 QosData
0.007431,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2631,,,0,,,28 QosData
0.007494,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2632,,,0,,,28 QosData
0.007555,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2633,,,0,,,28 QosData
0.007612,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2634,,,0,,,28 QosData
0.019183,84:1b:5e:41:8f:83,ff:ff:ff:ff:ff:ff,1831,,4.0,0,0,,08 Beacon
0.019280,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,,,4.0,0,0,,19 BlockAck
0.019533,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,,,4.0,0,0,,19 BlockAck
0.019588,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,,,4.0,0,0,,1B RTS
0.007674,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2635,7,130,0,,,28 QosData
0.007746,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2636,,,0,,,28 QosData
0.007808,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2637,,,0,,,28 QosData
0.007863,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2638,,,0,,,28 QosData
0.007927,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2639,,,0,,,28 QosData
0.007996,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2640,,,0,,,28 QosData
0.008055,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2641,,,0,,,28 QosData
0.008110,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2642,,,0,,,28 QosData
0.008172,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2643,,,0,,,28 QosData
0.008232,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2644,,,0,,,28 QosData
0.008287,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2645,,,0,,,28 QosData
0.008342,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2646,,,0,,,28 QosData
0.008402,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2647,,,0,,,28 QosData
0.008458,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2648,,,0,,,28 QosData
0.008514,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2649,,,0,,,28 QosData
0.008574,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2650,,,0,,,28 QosData
0.008639,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2651,,,0,,,28 QosData
0.008692,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2652,,,0,,,28 QosData
0.008738,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2653,,,0,,,28 QosData
0.008776,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2654,,,0,,,28 QosData
0.008817,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2655,,,0,,,28 QosData
0.008854,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2656,,,0,,,28 QosData
0.008893,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2657,,,0,,,28 QosData
0.008928,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2658,,,0,,,28 QosData
0.008966,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2659,,,0,,,28 QosData
0.009153,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2660,,,0,,,28 QosData
0.014139,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2661,7,130,0,,,28 QosData
0.014414,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2662,,,0,,,28 QosData
0.014627,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2663,,,0,,,28 QosData
0.014715,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2664,,,0,,,28 QosData
0.014783,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2665,,,0,,,28 QosData
0.014980,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2666,,,0,,,28 QosData
0.015064,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2667,,,0,,,28 QosData
0.015127,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2668,,,0,,,28 QosData
0.015191,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2669,,,0,,,28 QosData
0.015255,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2670,,,0,,,28 QosData
0.015317,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2671,,,0,,,28 QosData
0.015381,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2672,,,0,,,28 QosData
0.020720,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2267,7,270,0,,,28 QosData
0.020881,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2268,7,130,0,,,28 QosData
0.020993,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2269,7,270,0,,,28 QosData
0.021088,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2270,7,130,0,,,28 QosData
0.021200,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2271,7,130,0,,,28 QosData
0.021297,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2272,7,130,0,,,28 QosData
0.021402,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2273,7,130,0,,,28 QosData
0.021497,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2274,7,270,0,,,28 QosData
0.021583,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2275,7,130,0,,,28 QosData
0.021684,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2276,7,270,0,,,28 QosData
0.021778,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2277,7,130,0,,,28 QosData
0.021882,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2278,7,130,0,,,28 QosData
0.021975,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2279,7,270,0,,,28 QosData
0.022064,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2280,7,130,0,,,28 QosData
0.022173,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2281,7,270,0,,,28 QosData
0.022258,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2282,7,130,0,,,28 QosData
0.022350,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2283,7,130,0,,,28 QosData
0.022459,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2284,7,270,0,,,28 QosData
0.022551,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2285,7,130,0,,,28 QosData
0.022654,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2286,7,270,0,,,28 QosData
0.022749,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2287,7,130,0,,,28 QosData
0.022859,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2288,7,130,0,,,28 QosData
0.022967,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2289,7,270,0,,,28 QosData
0.023062,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2290,7,130,0,,,28 QosData
0.023165,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2291,7,270,0,,,28 QosData
0.023257,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2292,7,130,0,,,28 QosData
0.023344,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2293,7,130,0,,,28 QosData
0.023446,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2294,7,270,0,,,28 QosData
0.023541,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2295,7,130,0,,,28 QosData
0.023644,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2296,7,270,0,,,28 QosData
0.023737,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2297,7,130,0,,,28 QosData
0.023825,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2298,7,130,0,,,28 QosData
0.023931,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2299,7,270,0,,,28 QosData
0.024027,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2300,7,130,0,,,28 QosData
0.024133,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2301,7,270,0,,,28 QosData
0.024226,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2302,7,130,0,,,28 QosData
0.024315,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2303,7,130,0,,,28 QosData
0.024416,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2304,7,270,0,,,28 QosData
0.024507,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2305,7,130,0,,,28 QosData
0.024611,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2306,7,270,0,,,28 QosData
0.024704,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2307,7,130,0,,,28 QosData
0.024794,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2308,0,6.5,0,0,,28 QosData
0.024901,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2309,7,270,0,,,28 QosData
0.024995,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2310,7,130,0,,,28 QosData
0.025083,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2311,7,270,0,,,28 QosData
0.025189,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2312,7,130,0,,,28 QosData
0.025283,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2313,7,130,0,,,28 QosData
0.025393,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2314,7,270,0,,,28 QosData
0.025486,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2315,7,130,0,,,28 QosData
0.025574,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2316,7,270,0,,,28 QosData
0.025678,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2317,7,130,0,,,28 QosData
0.025766,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2318,7,130,0,,,28 QosData
0.025864,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2319,7,270,0,,,28 QosData
0.025951,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2320,7,130,0,,,28 QosData
0.026043,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2321,7,270,0,,,28 QosData
0.026143,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2322,7,130,0,,,28 QosData
0.026239,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2323,7,130,0,,,28 QosData
0.026351,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2324,7,270,0,,,28 QosData
0.026445,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2325,7,130,0,,,28 QosData
0.026534,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2326,7,270,0,,,28 QosData
0.026637,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2327,7,130,0,,,28 QosData
0.026729,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2328,7,130,0,,,28 QosData
0.026839,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2329,7,270,0,,,28 QosData
0.026934,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2330,7,130,0,,,28 QosData
0.027024,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2331,7,270,0,,,28 QosData
0.027130,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2332,7,130,0,,,28 QosData
0.027224,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2333,7,130,0,,,28 QosData
0.027330,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2334,7,270,0,,,28 QosData
0.027422,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2335,7,130,0,,,28 QosData
0.027512,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2336,7,270,0,,,28 QosData
0.027613,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2337,7,130,0,,,28 QosData
0.027707,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2338,7,130,0,,,28 QosData
0.027796,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2339,7,270,0,,,28 QosData
0.027899,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2340,7,130,0,,,28 QosData
0.027993,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2341,7,270,0,,,28 QosData
0.028101,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2342,7,130,0,,,28 QosData
0.028191,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2343,7,270,0,,,28 QosData
0.028283,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2344,7,130,0,,,28 QosData
0.028387,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2345,7,270,0,,,28 QosData
0.028479,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2346,7,130,0,,,28 QosData
0.028582,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2347,7,130,0,,,28 QosData
0.028672,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2348,7,270,0,,,28 QosData
0.028760,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2349,7,130,0,,,28 QosData
0.028863,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2350,0,6.5,0,0,,28 QosData
0.028956,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2351,7,130,0,,,28 QosData
0.029056,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2352,7,130,0,,,28 QosData
0.029146,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2353,7,270,0,,,28 QosData
0.029237,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2354,7,130,0,,,28 QosData
0.029343,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2355,7,270,0,,,28 QosData
0.029439,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2356,7,130,0,,,28 QosData
0.029546,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2357,7,130,0,,,28 QosData
0.029697,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2358,7,270,0,,,28 QosData
0.029815,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2359,7,130,0,,,28 QosData
0.029943,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2360,7,270,0,,,28 QosData
0.030050,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2361,7,130,0,,,28 QosData
0.030162,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2362,7,130,0,,,28 QosData
0.030263,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2363,7,270,0,,,28 QosData
0.030360,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2364,0,6.5,0,0,,28 QosData
0.030464,,00:0b:6b:7f:e3:11,,,4.0,0,0,,1D ACK
0.019363,00:0b:6b:7f:e3:11,48:d7:05:cc:3b:b9,2673,7,130,0,,,28 QosData
0.034110,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,,,4.0,0,0,,1B RTS
0.034198,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2365,7,130,0,,,28 QosData
0.034341,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2366,7,270,0,,,28 QosData
0.034476,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2367,7,130,0,,,28 QosData
0.034576,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2368,7,270,0,,,28 QosData
0.034677,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2369,7,270,0,,,28 QosData
0.034787,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2370,7,270,0,,,28 QosData
0.034884,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2371,7,130,0,,,28 QosData
0.035001,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2372,7,130,0,,,28 QosData
0.035097,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2373,7,270,0,,,28 QosData
0.035190,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2374,7,130,0,,,28 QosData
0.035301,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2375,7,270,0,,,28 QosData
0.035397,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2376,7,130,0,,,28 QosData
0.035505,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2377,7,130,0,,,28 QosData
0.035600,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2378,7,270,0,,,28 QosData
0.035690,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2379,7,130,0,,,28 QosData
0.035792,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2380,7,270,0,,,28 QosData
0.035883,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2381,7,130,0,,,28 QosData
0.035975,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2382,7,130,0,,,28 QosData
0.036084,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2383,7,270,0,,,28 QosData
0.036197,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2384,7,130,0,,,28 QosData
0.036317,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2385,7,270,0,,,28 QosData
0.036414,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2386,7,130,0,,,28 QosData
0.036507,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2387,7,130,0,,,28 QosData
0.036616,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2388,7,270,0,,,28 QosData
0.036712,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2389,7,130,0,,,28 QosData
0.036819,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2390,7,270,0,,,28 QosData
0.036911,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2391,7,130,0,,,28 QosData
0.037002,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2392,7,130,0,,,28 QosData
0.037103,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2393,7,270,0,,,28 QosData
0.037195,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2394,7,130,0,,,28 QosData
0.037300,48:d7:05:cc:3b:b9,00:0b:6b:7f:e3:11,2395,7,270,0,,,28 QosData
